Station ID,Province,Station name,Station agency,Meteogram flag
2162,AB,Banff (Mars),NCEP,0
1972,AB,Banff,NCEP,0
2155,AB,Bow Valley,NCEP,0
1975,AB,Brooks CWBO,NCEP,0
2339,AB,Calgary International Airport,NCEP,0
2197,AB,Calgary CYBW,NCEP,0
2011,AB,Cardston CWFJ,NCEP,0
1991,AB,Claresholm CWDK,NCEP,0
2265,AB,Cold Lake CYOD,NCEP,0
1986,AB,Coronation CWCT,NCEP,0
2113,AB,Crowsnest Pass CWRT,NCEP,0
2799,AB,CWDU,NCEP,0
2019,AB,CWGM,NCEP,0
2775,AB,CWNP,NCEP,0
3004,AB,CWNR,NCEP,0
2962,AB,CWQL,NCEP,0
2964,AB,CWQQ,NCEP,0
2967,AB,CWRD,NCEP,0
2969,AB,CWRV,NCEP,0
2791,AB,CWSV,NCEP,0
2979,AB,CWVO,NCEP,0
2983,AB,CWWO,NCEP,0
2992,AB,CZWN,NCEP,0
1995,AB,Drumheller CWDZ,NCEP,0
2209,AB,Edmonton CYED,NCEP,0
2210,AB,Edmonton International Airport,NCEP,0
2214,AB,Edson,NCEP,0
2027,AB,Esther CWGY,NCEP,0
2156,AB,Foremost CWXL,NCEP,0
2274,AB,Fort Chipewyan CYPY,NCEP,0
2177,AB,Fort McMurray CXMM,NCEP,0
2286,AB,Grand Prairie,NCEP,0
2266,AB,High Level,NCEP,0
2058,AB,Jasper Warden,NCEP,0
2066,AB,Lac La Biche CWLB,NCEP,0
2282,AB,Lethbridge Airport,NCEP,0
2252,AB,Lloydminster CYLL,NCEP,0
2332,AB,Medicine Hat Airport,NCEP,0
2116,AB,Milk River CWRY,NCEP,0
2088,AB,Onefour CWOE,NCEP,0
2269,AB,Peace River,NCEP,0
2576,AB,Pincher Creek CZPC,NCEP,0
2278,AB,Red Deer CYQF,NCEP,0
2110,AB,Rocky Mountain House CWRM,NCEP,0
2008,AB,Sandy Beach CWFE,NCEP,0
2352,AB,Slave Lake CYZH,NCEP,0
1971,AB,Sundre CWAV,NCEP,0
2032,AB,Three Hills CWHI,NCEP,0
2139,AB,Vegreville CWVI,NCEP,0
2949,NWT,CWLG,NCEP,0
2954,NWT,CWND,NCEP,0
2956,YT,CWOI,NCEP,0
2958,YT,CWON,NCEP,0
2961,NWT,CWQF,NCEP,0
2968,YT,CWRR,NCEP,0
3320,BC,29th Ave Station,CMBC,0
604,BC,Abbotsford Airport (ATI),NAVCAN,0
3163,BC,Agassiz,BCHydro,0
679,BC,Agassiz CDA (AU8),EC,0
1969,BC,Alert Bay,NCEP,0
414,BC,Alouette Lake forebay,BCHydro,0
3544,BC,Ashcroft,EC,0
624,BC,Ballenas Island (AU8),EC,0
467,BC,Barnes Ck.,BCHydro,0
3582,BC,Bella Bella Campbell Island,NAVCAN,0
3546,BC,Bella Coola Airport,EC,0
580,BC,Bella Coola Airport (CON),NAVCAN,0
2899,BC,Blackcomb Mountain Base (AU8),EC,0
3316,BC,Blanca Loop,CMBC,0
584,BC,Blue River (AU2),NAVCAN,0
658,BC,Blue River (AU8),EC,0
675,BC,Bonilla Island (AU4),EC,0
431,BC,Bralorne Upper,BCHydro,0
434,BC,Bridge R. below Glacier,BCHydro,0
402,BC,Burmount,GVRD,0
397,BC,Burnaby Mountain,GVRD,0
404,BC,Burnaby North,GVRD,0
400,BC,Burnaby South,GVRD,0
648,BC,Burns Lake CS (AU8),EC,0
2102,BC,Burns Lake,NCEP,0
3547,BC,Burwash RCS,EC,0
2900,BC,Callaghan Valley (AU8),EC,0
581,BC,Campbell River Airport (ATI),NAVCAN,0
3508,BC,Cape Scott Wind,BCHydro,0
403,BC,Capitol Hill,GVRD,0
583,BC,Castlegar Airport (W04ATO),NAVCAN,0
640,BC,Cathedral Pt. (AU4),EC,0
413,BC,Central Abbotsford,GVRD,0
585,BC,Chetwynd Airport (CON),NAVCAN,0
395,BC,Chilliwack Airport,GVRD,0
3549,BC,Clearwater Auto,EC,0
3584,BC,Clinton A,NAVCAN,0
3543,BC,Clinton RCS,EC,0
424,BC,Clowhom Falls,BCHydro,0
442,BC,Comox Dam forebay,BCHydro,0
594,BC,Comox,EC,0
415,BC,Coquitlam Lake forebay,BCHydro,0
416,BC,Coquitlam R. above Lake,BCHydro,0
3570,BC,Cranbrook Airport Auto,EC,0
600,BC,Cranbrook Airport (ATI),NAVCAN,0
631,BC,Creston,EC,0
3156,BC,Creston,BCHydro,0
444,BC,Cruickshank R. near the Mouth,BCHydro,0
3548,BC,Cultus Lake,EC,0
680,BC,Cumshewa Island (CU8),EC,0
2795,BC,CWAS,NCEP,0
2007,BC,CWEZ,NCEP,0
2793,BC,CWQC,NCEP,0
2106,BC,CWQS,NCEP,0
2114,BC,CWRU,NCEP,0
2746,BC,CYDQ,NCEP,0
426,BC,Daisy Lake Dam,BCHydro,0
587,BC,Dawson Creek Airport (ATI),NAVCAN,0
3583,BC,Dease Lake A,NAVCAN,0
636,BC,Dease Lake (AU8),NAVCAN,0
2065,BC,Dease Lake,NCEP,0
3545,BC,Delta Burns Bog,EC,0
3591,BC,Delta City Hall,UBC_RS,0
3599,BC,Delta Firehall no. 3,UBC_RS,0
617,BC,Discovery Island CS,EC,0
412,BC,Douglas College,GVRD,0
3157,BC,Duncan Lake Dam,BCHydro,0
445,BC,Elk R. above Campbell Lk.,BCHydro,0
446,BC,Elsie Lk. forebay,BCHydro,0
2631,BC,Entrance Island,EC,0
447,BC,Eric Ck.,BCHydro,0
2094,BC,Esquimalt CWPF,NCEP,0
645,BC,Esquimalt Harbour (AU8),EC,0
2629,BC,Estevan Point,EC,0
683,BC,Fanny Island,EC,0
3158,BC,Fauquier,BCHydro,0
495,BC,Finlay R. above Akie R.,BCHydro,0
606,BC,Fort Nelson Airport (ATI),NAVCAN,0
3550,BC,Fort Nelson,EC,0
3551,BC,Fort St. James Auto,EC,0
601,BC,Fort St. John Airport (W04ATO),NAVCAN,0
3164,BC,Germansen Landing,BCHydro,0
496,BC,GMS Hudson's Hope,BCHydro,0
417,BC,Gold Ck.,BCHydro,0
3552,BC,Golden Airport,EC,0
588,BC,Golden Airport (CON),NAVCAN,0
3162,BC,Golden,BCHydro,0
410,BC,Golden Ears Elementary School,GVRD,0
448,BC,Gold River,BCHydro,0
2630,BC,Grey Islet,EC,0
3576,BC,Grief Point,EC,0
497,BC,Halfway R. at Farrell Ck.,BCHydro,0
451,BC,Heber River,BCHydro,0
2033,BC,Helca Island,NCEP,0
639,BC,Herbert Island (AU4),EC,0
629,BC,Holland Rock,EC,0
3562,BC,Hoep Airport Auto,EC,0
409,BC,Hope Airport,GVRD,0
589,BC,Hope Airport (AU5),NAVCAN,0
498,BC,Horn Ck.,BCHydro,0
3341,BC,Horseshoe Bay,GVRD,0
499,BC,Ingenika R. above Swannell R.,BCHydro,0
2014,BC,Island Lake,NCEP,0
590,BC,Kamloops Airport,NAVCAN,0
3581,BC,Kamloops Aut,EC,0
591,BC,Kelowna Airport,NAVCAN,0
3553,BC,Kelowna UBCO,EC,0
681,BC,Kelp Reef CS,EC,0
392,BC,Kensington Park,GVRD,0
651,BC,Kindakun Rocks,EC,0
3522,BC,Kootenay Loop,CMBC,0
3310,BC,Kootenay NP West Gate,BCHydro,0
500,BC,Kwadacha North,BCHydro,0
437,BC,LaJoie Upper,BCHydro,0
632,BC,Langara CS (AU8),EC,0
407,BC,Langley Central,GVRD,0
634,BC,Lillooet,EC,0
637,BC,Lucy Island (AU8),EC,0
567,BC,Lytton (AU5),NAVCAN,0
3554,BC,Lytton,EC,0
3575,BC,Mackenzie Airport RCS,EC,0
611,BC,Mackenzie Airport (AU5),NAVCAN,0
3577,YT,MacMillian Pass,EC,0
406,BC,Mahon Park,GVRD,0
635,BC,Malahat (AU8),EC,0
2061,BC,Malahat CWKH,NCEP,0
3579,BC,Margaret Lake,EC,0
3585,BC,Massett,NAVCAN,0
502,BC,McQue Terrace,BCHydro,0
401,BC,Meadowlands Elementary School,GVRD,0
3555,BC,Merritt,EC,0
2104,BC,Metchosin CWQK,NCEP,0
3311,BC,Mica Dam,BCHydro,0
438,BC,Mission Ridge,BCHydro,0
486,BC,Molson Creek,BCHydro,0
487,BC,Morrissey Ridge,BCHydro,0
488,BC,Mount Revelstoke,BCHydro,0
643,BC,Nakusp (AU8),EC,0
582,BC,Nanaimo Airport (ATI),NAVCAN,0
642,BC,Nelson (AU8),EC,0
3558,BC,North Cowichan,EC,0
396,BC,North Delta,GVRD,0
439,BC,North Tyaughton Ck.,BCHydro,0
2074,BC,Ocean Falls CWME,NCEP,0
3566,BC,Ootsa Lakeskins Lake Climate,EC,0
678,BC,Osoyoos (AU8),EC,0
3317,BC,OTC,CMBC,0
